feature,importance
Genres,18.194324915140722
Categories,14.57794534645372
Required age,13.386210685104766
Price,10.908722494640354
Achievements,10.559251740057451
Publishers,10.469033296609727
DiscountDLC count,8.157841700242463
Developers,6.6192436710736935
Mac,5.242445139314993
Linux,1.8849810113621215
release_month,0.0
release_year,0.0
release_quarter,0.0
Windows,0.0
